"cell_type","color"
"ACY3","lightblue"
"B","steelblue"
"CD8","orange"
"CMP","darkgreen"
"Ery","red"
"GMP","darkseagreen2"
"HSC","gold"
"LMPP","blue"
"masBasP","purple"
"MDP1","cyan"
"MEP","plum"
"MK","pink"
"monP1","chartreuse"
"mon1","chartreuse"
"MPP","azure4"
"NK","orange"
"plasma","cadetblue"
"pro-B","steelblue4"
"T_naive","orange"
"T","orange"
"stromal","black"
